"EMPLOYEE_ID","AGE","FAMILYSIZE","YEAREXPERIENCE","ANNUALINCOME","EDUCATIONLEVEL_ID","NETPRICE_PRO11_AMT","NETPRICE_PRO12_AMT","NETPRICE_PRO13_AMT","NETPRICE_PRO14_AMT","NETPRICE_PRO15_AMT","NETPRICE_PRO16_AMT","NETPRICE_PRO17_AMT"
441,40,3,15,43,2,153.0,0.0,0.0,7.0,0.0,1.0,0.0
442,38,4,13,194,3,211.0,1.0,1.0,2.0,1.0,1.0,1.0
443,57,2,27,81,3,0.0,0.0,0.0,45.0,1.0,0.0,0.0
444,41,1,17,49,1,0.0,0.0,0.0,18.0,1.0,0.0,0.0
445,33,4,9,8,2,0.0,1.0,0.0,7.0,0.0,1.0,0.0
446,62,1,38,131,1,0.0,0.0,0.0,29.0,0.0,1.0,0.0
447,31,1,7,72,1,207.0,0.0,0.0,1.0,0.0,0.0,0.0
448,51,3,27,190,3,240.0,0.0,0.0,21.0,0.0,1.0,1.0
449,30,1,6,44,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
450,42,2,18,139,1,0.0,0.0,0.0,80.0,0.0,1.0,0.0
451,56,3,31,29,2,0.0,1.0,1.0,1.0,0.0,1.0,0.0
452,57,2,32,131,3,0.0,0.0,0.0,12.0,0.0,0.0,1.0
453,29,2,3,93,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0
454,32,2,6,188,1,455.0,0.0,0.0,45.0,0.0,0.0,0.0
455,50,3,25,39,2,0.0,1.0,0.0,17.0,0.0,1.0,0.0
456,48,1,22,125,1,112.0,1.0,0.0,57.0,0.0,0.0,0.0
457,43,1,19,22,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
458,43,4,18,32,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
459,48,2,24,105,1,0.0,0.0,0.0,33.0,0.0,0.0,0.0
460,60,1,36,131,1,0.0,0.0,0.0,38.0,1.0,1.0,0.0
461,63,2,37,105,1,336.0,0.0,0.0,28.0,0.0,0.0,0.0
462,54,4,24,45,3,132.0,1.0,0.0,20.0,0.0,0.0,0.0
463,48,3,22,60,1,0.0,0.0,0.0,21.0,1.0,1.0,0.0
464,54,4,30,20,1,0.0,0.0,0.0,2.0,0.0,1.0,0.0
465,43,1,19,115,1,0.0,0.0,0.0,35.0,1.0,0.0,0.0
466,54,4,30,69,2,0.0,0.0,0.0,10.0,0.0,1.0,0.0
467,45,1,21,130,1,0.0,0.0,0.0,50.0,1.0,0.0,0.0
468,42,1,17,85,3,0.0,0.0,0.0,40.0,1.0,1.0,0.0
469,29,2,4,135,1,0.0,0.0,0.0,33.0,1.0,0.0,0.0
470,32,4,8,135,2,0.0,0.0,1.0,38.0,1.0,1.0,1.0
471,59,3,33,12,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0
472,47,3,21,29,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0
473,55,2,31,133,3,0.0,0.0,0.0,26.0,0.0,0.0,1.0
474,51,2,27,19,1,118.0,0.0,0.0,4.0,0.0,1.0,0.0
475,61,4,37,41,1,174.0,0.0,0.0,13.0,1.0,1.0,0.0
476,48,3,23,40,2,0.0,0.0,0.0,27.0,0.0,1.0,0.0
477,42,1,17,82,3,0.0,0.0,0.0,40.0,0.0,1.0,0.0
478,34,1,10,50,2,0.0,0.0,0.0,24.0,0.0,0.0,0.0
479,47,1,23,18,3,0.0,0.0,0.0,9.0,0.0,1.0,0.0
480,28,4,3,109,3,0.0,0.0,0.0,18.0,0.0,0.0,0.0
481,41,4,17,42,2,126.0,0.0,0.0,22.0,0.0,0.0,0.0
482,49,3,23,78,1,0.0,0.0,0.0,11.0,0.0,1.0,0.0
483,66,2,42,51,1,0.0,0.0,0.0,11.0,0.0,1.0,0.0
484,26,4,1,113,3,0.0,0.0,0.0,23.0,1.0,0.0,0.0
485,56,4,31,118,2,0.0,0.0,0.0,56.0,0.0,1.0,1.0
486,36,4,11,29,3,0.0,0.0,0.0,11.0,0.0,1.0,0.0
487,44,3,20,34,2,0.0,0.0,0.0,6.0,0.0,0.0,0.0
488,61,2,35,64,3,236.0,1.0,0.0,17.0,0.0,1.0,0.0
489,66,1,40,121,1,0.0,0.0,0.0,20.0,0.0,0.0,0.0
490,39,4,13,48,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
491,42,1,16,80,1,0.0,0.0,0.0,52.0,0.0,0.0,0.0
492,55,1,29,161,1,0.0,0.0,0.0,29.0,0.0,1.0,0.0
493,50,1,24,94,1,0.0,0.0,0.0,3.0,0.0,1.0,0.0
494,67,3,42,15,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
495,49,1,24,74,1,0.0,0.0,0.0,12.0,0.0,1.0,0.0
496,62,3,37,30,2,0.0,0.0,0.0,13.0,0.0,0.0,0.0
497,54,3,24,44,3,198.0,0.0,0.0,10.0,1.0,1.0,0.0
498,44,2,19,22,2,0.0,0.0,0.0,3.0,0.0,1.0,0.0
499,57,4,33,38,1,166.0,0.0,0.0,13.0,1.0,1.0,0.0
500,25,3,1,35,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0
501,44,4,18,69,1,0.0,0.0,0.0,29.0,1.0,1.0,0.0
502,43,1,19,43,1,136.0,0.0,0.0,7.0,0.0,0.0,0.0
503,34,1,8,32,3,166.0,0.0,0.0,6.0,0.0,1.0,0.0
504,44,1,18,49,1,0.0,0.0,0.0,28.0,0.0,1.0,0.0
505,42,3,15,9,2,0.0,0.0,0.0,10.0,0.0,0.0,0.0
506,63,4,39,45,2,0.0,0.0,0.0,13.0,0.0,1.0,0.0
507,41,3,16,82,1,309.0,0.0,0.0,10.0,0.0,0.0,0.0
508,59,2,35,92,1,103.0,0.0,0.0,28.0,0.0,0.0,0.0
509,40,3,15,39,3,0.0,0.0,0.0,5.0,0.0,1.0,0.0
510,66,3,41,81,2,0.0,0.0,0.0,18.0,0.0,1.0,0.0
511,55,1,30,35,2,0.0,0.0,0.0,15.0,0.0,1.0,0.0
512,59,2,34,61,3,193.0,0.0,0.0,23.0,0.0,1.0,0.0
513,42,3,17,73,1,0.0,0.0,0.0,30.0,0.0,1.0,0.0
514,33,1,8,112,1,366.0,0.0,0.0,46.0,0.0,0.0,0.0
515,55,2,30,12,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
516,53,3,27,38,3,0.0,0.0,0.0,9.0,0.0,1.0,0.0
517,59,2,33,73,2,0.0,0.0,0.0,7.0,1.0,1.0,0.0
518,38,1,14,84,2,0.0,1.0,0.0,36.0,0.0,0.0,0.0
519,40,4,16,78,1,118.0,0.0,0.0,24.0,0.0,1.0,0.0
520,61,3,36,80,1,0.0,0.0,0.0,5.0,0.0,1.0,0.0
521,32,2,6,115,1,101.0,0.0,0.0,13.0,1.0,1.0,0.0
522,35,1,9,82,2,251.0,0.0,0.0,27.0,0.0,1.0,0.0
523,39,2,15,74,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
524,42,3,17,70,3,0.0,0.0,0.0,5.0,1.0,0.0,0.0
525,29,3,5,81,1,276.0,0.0,0.0,15.0,0.0,1.0,0.0
526,59,4,35,149,2,0.0,0.0,1.0,72.0,1.0,1.0,1.0
527,32,2,2,51,3,0.0,0.0,0.0,17.5,0.0,0.0,0.0
528,31,3,5,39,2,0.0,0.0,0.0,11.0,0.0,1.0,0.0
529,54,3,30,98,2,0.0,0.0,0.0,18.0,0.0,0.0,0.0
530,59,4,34,45,1,0.0,0.0,0.0,21.0,1.0,1.0,0.0
531,60,4,33,49,2,0.0,0.0,0.0,25.0,0.0,1.0,0.0
532,50,2,26,128,1,0.0,0.0,0.0,4.0,0.0,0.0,0.0
533,60,3,35,42,1,0.0,1.0,1.0,15.0,1.0,0.0,0.0
534,60,1,36,18,3,0.0,0.0,0.0,12.0,0.0,1.0,0.0
535,52,2,26,31,3,161.0,0.0,0.0,4.0,1.0,1.0,0.0
536,36,3,12,58,1,149.0,0.0,0.0,20.0,1.0,1.0,0.0
537,34,1,10,48,3,0.0,0.0,0.0,21.0,1.0,0.0,0.0
538,26,4,2,54,1,0.0,0.0,0.0,16.0,1.0,1.0,0.0
539,50,2,24,70,2,0.0,0.0,0.0,15.0,0.0,0.0,0.0
540,60,1,36,124,1,0.0,0.0,0.0,74.0,1.0,0.0,0.0
541,47,1,20,84,2,0.0,0.0,0.0,26.7,1.0,1.0,0.0
542,51,4,26,83,3,188.0,0.0,0.0,36.0,0.0,1.0,0.0
543,53,2,29,163,1,116.0,0.0,0.0,4.0,0.0,1.0,0.0
544,49,3,23,42,2,0.0,0.0,0.0,22.0,0.0,0.0,0.0
545,47,2,23,118,1,0.0,0.0,1.0,75.0,1.0,1.0,0.0
546,27,3,1,132,3,0.0,0.0,0.0,65.0,1.0,0.0,1.0
547,58,1,33,24,1,0.0,0.0,0.0,13.0,1.0,1.0,0.0
548,61,2,37,22,1,0.0,1.0,1.0,10.0,1.0,1.0,0.0
549,55,4,30,58,3,0.0,0.0,0.0,13.0,0.0,0.0,0.0
550,25,4,1,60,1,0.0,0.0,0.0,16.0,0.0,1.0,0.0
551,27,4,1,15,1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
552,42,4,18,83,1,0.0,0.0,0.0,26.7,1.0,1.0,0.0
553,33,2,7,79,3,0.0,0.0,0.0,15.0,1.0,1.0,0.0
554,62,4,36,41,2,0.0,1.0,0.0,17.0,0.0,1.0,0.0
555,30,4,1,134,3,0.0,0.0,0.0,65.0,0.0,0.0,1.0
556,62,2,36,80,1,0.0,0.0,0.0,28.0,0.0,1.0,0.0
557,39,1,13,52,1,0.0,0.0,0.0,20.0,0.0,0.0,0.0
558,29,4,5,70,1,0.0,0.0,0.0,26.0,0.0,1.0,0.0
559,54,2,28,92,1,0.0,1.0,0.0,11.0,0.0,0.0,0.0
560,28,1,2,43,1,0.0,0.0,0.0,15.0,0.0,1.0,0.0
561,26,3,2,21,2,0.0,0.0,0.0,10.0,0.0,0.0,0.0
562,34,3,10,23,3,0.0,0.0,0.0,9.0,1.0,1.0,0.0
563,51,4,27,13,1,0.0,0.0,0.0,10.0,0.0,1.0,0.0
564,28,4,2,112,3,0.0,0.0,0.0,21.0,1.0,0.0,0.0
565,28,2,2,138,1,0.0,0.0,0.0,20.0,0.0,1.0,0.0
566,53,3,29,11,1,0.0,1.0,0.0,4.0,0.0,0.0,0.0
567,39,2,14,171,1,0.0,0.0,0.0,78.0,0.0,1.0,0.0
568,59,4,35,42,1,0.0,0.0,0.0,15.0,1.0,1.0,0.0
569,43,2,18,168,2,0.0,0.0,0.0,79.0,0.0,1.0,1.0
570,46,4,21,85,2,0.0,1.0,0.0,11.0,0.0,1.0,0.0
571,53,3,26,44,2,135.0,0.0,0.0,10.0,0.0,1.0,0.0
572,30,4,4,65,2,244.0,0.0,0.0,18.0,0.0,0.0,0.0
573,54,4,30,24,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0
574,63,1,38,11,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
575,52,2,28,38,3,164.0,0.0,0.0,10.0,0.0,1.0,0.0
576,37,4,13,10,2,81.0,0.0,0.0,7.0,0.0,0.0,0.0
577,25,1,1,135,1,0.0,0.0,0.0,15.0,0.0,1.0,0.0
578,30,3,4,148,1,0.0,0.0,0.0,41.0,0.0,1.0,1.0
579,53,2,27,63,2,0.0,1.0,0.0,15.0,0.0,1.0,0.0
580,40,1,15,115,3,0.0,0.0,0.0,10.0,0.0,1.0,0.0
581,49,1,24,45,1,0.0,0.0,0.0,3.0,1.0,1.0,0.0
582,47,3,22,159,3,315.0,0.0,0.0,19.0,0.0,1.0,1.0
583,65,2,41,169,1,122.0,0.0,0.0,21.0,0.0,1.0,0.0
584,56,2,30,112,1,0.0,0.0,0.0,14.0,0.0,1.0,0.0
585,61,1,37,93,1,0.0,0.0,0.0,43.0,0.0,1.0,0.0
586,52,1,26,29,3,140.0,0.0,0.0,3.0,0.0,0.0,0.0
587,51,1,24,85,2,0.0,0.0,0.0,26.7,0.0,1.0,0.0
588,49,4,25,21,1,0.0,0.0,0.0,6.0,1.0,1.0,0.0
589,54,2,30,144,1,0.0,0.0,0.0,68.0,0.0,1.0,0.0
590,35,4,11,13,1,95.0,1.0,0.0,10.0,0.0,1.0,0.0
591,49,1,25,165,1,0.0,0.0,0.0,50.0,1.0,0.0,0.0
592,56,4,32,9,1,89.0,0.0,0.0,7.0,0.0,1.0,0.0
593,28,4,4,59,1,90.0,1.0,0.0,0.0,0.0,1.0,0.0
594,37,1,12,158,3,0.0,0.0,1.0,51.0,1.0,1.0,1.0
595,33,1,7,29,3,0.0,0.0,0.0,19.0,1.0,1.0,0.0
596,36,2,10,20,3,0.0,0.0,0.0,14.0,1.0,1.0,0.0
597,31,4,4,68,2,0.0,0.0,0.0,20.0,0.0,1.0,0.0
598,59,4,35,65,1,0.0,0.0,0.0,22.0,0.0,1.0,0.0
599,57,2,32,61,2,105.0,0.0,0.0,19.0,0.0,0.0,0.0
600,39,4,13,91,2,100.0,0.0,0.0,14.0,1.0,0.0,0.0
601,50,1,26,31,1,0.0,1.0,0.0,10.0,0.0,1.0,0.0
602,35,4,11,71,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
603,41,4,17,73,1,0.0,0.0,0.0,26.7,1.0,1.0,0.0
604,65,4,40,172,1,282.0,0.0,1.0,31.0,1.0,1.0,1.0
606,45,1,19,55,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0
607,47,2,23,69,1,209.0,0.0,0.0,17.0,0.0,0.0,0.0
608,58,1,34,155,1,0.0,0.0,0.0,74.0,0.0,1.0,0.0
609,55,1,29,94,2,0.0,0.0,0.0,19.0,0.0,0.0,0.0
610,39,2,15,92,1,249.0,0.0,0.0,0.0,1.0,1.0,0.0
611,28,2,4,125,1,0.0,0.0,0.0,6.0,0.0,0.0,0.0
612,40,3,15,74,1,0.0,0.0,0.0,30.0,0.0,0.0,0.0
613,45,3,21,72,3,0.0,0.0,0.0,3.0,0.0,1.0,0.0
614,57,1,31,61,3,0.0,0.0,0.0,22.0,1.0,1.0,0.0
615,33,2,7,25,1,0.0,0.0,0.0,3.0,1.0,0.0,0.0
616,46,2,20,83,2,0.0,0.0,0.0,17.0,0.0,1.0,0.0
617,27,3,3,104,1,0.0,0.0,0.0,25.0,0.0,0.0,0.0
618,56,3,26,41,3,0.0,0.0,0.0,10.0,0.0,1.0,0.0
619,53,4,28,58,3,91.0,0.0,0.0,18.0,0.0,0.0,0.0
620,40,1,14,93,3,0.0,0.0,0.0,15.0,1.0,0.0,0.0
621,25,2,1,39,2,0.0,0.0,0.0,17.0,0.0,0.0,0.0
622,48,2,24,148,1,0.0,0.0,1.0,75.0,1.0,1.0,0.0
623,48,4,23,53,3,98.0,1.0,1.0,19.0,1.0,0.0,0.0
624,49,2,25,71,1,145.0,0.0,0.0,17.0,1.0,0.0,0.0
625,48,1,23,92,2,0.0,0.0,0.0,28.0,0.0,1.0,0.0
626,36,4,11,61,3,0.0,0.0,0.0,21.0,0.0,1.0,0.0
627,47,3,20,38,2,135.0,0.0,0.0,25.0,0.0,0.0,0.0
628,63,4,38,58,1,0.0,0.0,0.0,17.0,0.0,1.0,0.0
629,27,1,2,80,2,150.0,0.0,0.0,8.0,0.0,0.0,0.0
630,39,4,9,71,3,0.0,0.0,0.0,18.0,0.0,1.0,0.0
631,44,3,19,89,3,0.0,0.0,0.0,5.0,1.0,1.0,0.0
632,63,1,39,83,3,0.0,0.0,0.0,18.0,0.0,1.0,0.0
633,58,3,33,28,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0
634,29,4,4,52,2,0.0,0.0,0.0,17.0,0.0,0.0,0.0
635,52,1,27,70,1,169.0,0.0,0.0,12.0,0.0,0.0,0.0
636,49,1,23,71,3,0.0,0.0,0.0,14.0,1.0,0.0,0.0
637,42,1,17,75,3,280.0,0.0,0.0,37.0,0.0,0.0,0.0
638,66,3,40,170,3,99.0,0.0,1.0,79.0,0.0,1.0,1.0
639,42,4,18,78,1,78.0,0.0,0.0,8.0,0.0,1.0,0.0
640,36,2,12,25,2,0.0,0.0,0.0,10.0,0.0,0.0,0.0
641,39,2,15,60,3,0.0,0.0,0.0,6.0,1.0,1.0,0.0
642,54,4,30,120,2,111.0,1.0,1.0,27.0,0.0,1.0,1.0
643,56,2,30,99,1,264.0,0.0,0.0,14.0,1.0,1.0,0.0
644,27,3,2,55,3,113.0,0.0,0.0,26.0,1.0,0.0,0.0
645,31,3,7,29,2,117.0,0.0,0.0,10.0,0.0,0.0,0.0
646,55,2,29,170,2,325.0,0.0,0.0,62.0,0.0,1.0,1.0
647,66,3,41,53,1,0.0,0.0,0.0,22.0,1.0,0.0,0.0
649,66,3,42,134,3,121.0,0.0,0.0,39.0,0.0,1.0,1.0
650,67,2,41,42,3,138.0,0.0,0.0,7.0,1.0,0.0,0.0
651,27,4,1,99,3,0.0,0.0,0.0,23.0,1.0,0.0,0.0
652,67,3,42,18,1,0.0,0.0,0.0,5.0,1.0,0.0,0.0
653,36,4,10,24,1,0.0,0.0,0.0,3.0,0.0,1.0,0.0
654,57,1,31,55,1,77.0,0.0,0.0,14.0,0.0,1.0,0.0
655,52,1,28,58,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
656,43,2,17,111,3,251.0,0.0,0.0,12.0,0.0,1.0,1.0
657,50,1,24,33,3,0.0,0.0,1.0,3.0,1.0,1.0,0.0
658,28,4,2,74,2,112.0,0.0,0.0,18.0,1.0,1.0,0.0
659,46,2,20,38,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0
660,50,4,24,23,3,98.0,1.0,0.0,6.0,0.0,0.0,0.0
661,64,2,39,61,1,0.0,0.0,0.0,15.0,0.0,1.0,0.0
662,48,1,23,81,1,138.0,0.0,0.0,29.0,0.0,0.0,0.0
663,65,1,40,129,1,0.0,0.0,0.0,25.0,0.0,1.0,0.0
664,44,1,14,33,3,0.0,0.0,0.0,7.5,0.0,0.0,0.0
665,61,4,37,63,1,0.0,0.0,0.0,22.0,0.0,1.0,0.0
666,41,4,15,70,2,0.0,0.0,0.0,14.0,0.0,1.0,0.0
667,30,4,4,45,1,158.0,0.0,0.0,2.0,1.0,1.0,0.0
668,42,3,17,65,3,0.0,0.0,0.0,5.0,0.0,1.0,0.0
669,31,4,6,74,1,0.0,1.0,0.0,22.0,1.0,0.0,0.0
670,50,4,25,50,3,0.0,1.0,0.0,18.0,0.0,0.0,0.0
671,31,4,6,22,3,109.0,0.0,0.0,5.0,0.0,1.0,0.0
672,30,4,3,30,3,0.0,0.0,0.0,10.0,0.0,0.0,0.0
673,51,4,27,21,1,0.0,0.0,0.0,10.0,0.0,1.0,0.0
674,40,2,15,155,1,0.0,0.0,0.0,39.0,0.0,1.0,0.0
675,34,4,9,64,3,164.0,0.0,0.0,21.0,0.0,1.0,0.0
676,58,4,32,65,3,0.0,0.0,0.0,26.0,1.0,0.0,0.0
677,35,4,10,71,3,0.0,0.0,0.0,7.0,0.0,1.0,0.0
678,62,3,37,40,2,0.0,1.0,0.0,5.0,0.0,1.0,0.0
679,45,3,20,69,3,0.0,0.0,0.0,5.0,0.0,1.0,0.0
680,41,3,14,69,2,0.0,0.0,0.0,23.3,0.0,0.0,0.0
681,52,3,26,45,2,131.0,0.0,0.0,6.0,0.0,1.0,0.0
682,38,3,13,62,2,0.0,0.0,0.0,7.0,1.0,0.0,0.0
683,45,2,20,172,3,391.0,1.0,1.0,43.0,0.0,1.0,1.0
684,43,3,16,24,2,0.0,0.0,0.0,10.0,1.0,1.0,0.0
685,52,1,26,80,1,0.0,0.0,0.0,49.0,0.0,0.0,0.0
686,44,3,17,8,2,88.0,0.0,0.0,6.7,0.0,1.0,0.0
687,31,4,6,38,1,129.0,0.0,0.0,8.0,1.0,1.0,0.0
688,46,4,20,93,3,0.0,0.0,0.0,26.0,0.0,0.0,0.0
689,36,1,10,55,1,0.0,0.0,0.0,20.0,0.0,1.0,0.0
690,61,2,35,64,3,0.0,0.0,0.0,17.0,1.0,0.0,0.0
691,35,1,10,122,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
692,56,3,26,70,3,0.0,0.0,0.0,14.0,0.0,1.0,0.0
693,44,2,20,81,1,0.0,0.0,0.0,32.0,0.0,0.0,0.0
694,42,1,16,159,3,0.0,0.0,1.0,55.0,0.0,1.0,1.0
695,35,4,10,70,1,0.0,1.0,0.0,13.0,0.0,0.0,0.0
696,66,2,40,150,1,196.0,0.0,0.0,69.0,0.0,0.0,0.0
697,46,2,22,152,1,0.0,0.0,0.0,75.0,0.0,1.0,0.0
698,50,4,26,195,1,617.0,0.0,0.0,30.0,0.0,0.0,1.0
699,49,1,24,22,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
700,61,1,36,22,1,123.0,0.0,0.0,13.0,0.0,1.0,0.0
701,56,3,30,79,1,0.0,0.0,0.0,8.0,1.0,1.0,0.0
702,43,1,19,33,3,0.0,0.0,0.0,14.0,0.0,1.0,0.0
703,33,2,9,128,1,0.0,0.0,1.0,43.3,1.0,1.0,0.0
704,63,1,39,91,1,0.0,1.0,0.0,38.0,0.0,1.0,0.0
705,58,4,33,39,1,0.0,0.0,0.0,9.0,1.0,1.0,0.0
706,53,1,27,121,1,167.0,0.0,0.0,73.0,0.0,1.0,0.0
707,37,1,7,21,3,0.0,1.0,0.0,6.7,0.0,1.0,0.0
708,35,3,10,41,1,0.0,0.0,0.0,23.0,1.0,0.0,0.0
709,64,2,38,45,3,0.0,0.0,0.0,7.0,0.0,1.0,0.0
710,25,3,1,51,3,0.0,0.0,0.0,3.0,0.0,1.0,0.0
711,58,1,32,165,2,0.0,0.0,0.0,16.0,0.0,1.0,1.0
712,41,2,17,119,2,0.0,0.0,0.0,42.0,0.0,1.0,1.0
713,28,4,3,110,3,190.0,0.0,0.0,18.0,0.0,1.0,0.0
714,66,3,40,20,2,0.0,0.0,0.0,7.0,1.0,0.0,0.0
715,61,1,35,64,2,248.0,0.0,0.0,8.0,0.0,0.0,0.0
716,45,3,21,101,2,82.0,0.0,0.0,44.0,0.0,0.0,1.0
717,64,1,40,101,1,0.0,1.0,1.0,39.0,0.0,1.0,1.0
718,60,1,35,99,1,0.0,0.0,0.0,44.0,0.0,0.0,1.0
719,57,4,31,158,1,0.0,0.0,0.0,61.0,0.0,0.0,1.0
720,55,1,29,89,2,0.0,0.0,0.0,19.0,1.0,1.0,0.0
721,53,1,28,80,3,0.0,0.0,1.0,13.0,1.0,1.0,0.0
722,59,2,33,114,1,402.0,0.0,0.0,20.0,0.0,1.0,0.0
723,61,3,36,49,2,0.0,0.0,0.0,5.0,1.0,1.0,0.0
724,29,1,5,191,1,0.0,0.0,0.0,63.3,0.0,1.0,0.0
725,55,4,31,78,2,0.0,0.0,0.0,10.0,0.0,1.0,0.0
726,33,3,7,28,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
727,60,1,34,42,2,0.0,0.0,0.0,8.0,0.0,1.0,0.0
728,64,1,39,140,1,0.0,0.0,0.0,25.0,0.0,0.0,0.0
729,49,1,24,45,2,0.0,0.0,0.0,13.0,0.0,1.0,0.0
730,57,2,33,122,1,360.0,0.0,1.0,3.0,1.0,1.0,0.0
731,37,3,13,65,2,0.0,0.0,0.0,26.0,0.0,1.0,0.0
732,58,1,28,68,3,0.0,0.0,0.0,14.0,0.0,1.0,0.0
733,30,2,4,153,1,392.0,0.0,0.0,20.0,0.0,0.0,0.0
734,40,4,14,89,2,0.0,0.0,0.0,14.0,0.0,0.0,0.0
735,60,1,35,91,1,0.0,0.0,0.0,26.0,1.0,1.0,0.0
736,32,4,7,55,2,185.0,0.0,0.0,20.0,0.0,1.0,0.0
737,44,2,20,118,1,0.0,0.0,0.0,33.0,1.0,0.0,0.0
